ECO_ID,ECO_NAME,plant_diversity
30707.0,Guinean forest-savanna mosaic,1105.0567965213356
30708.0,Itigi-Sumbu thicket,1158.8347018736727
30709.0,Kalahari Acacia-Baikiaea woodlands,616.5224765793427
30710.0,Mandara Plateau mosaic,954.5327898700496
30711.0,Northern Acacia-Commiphora bushlands and thickets,1038.82615983468
30712.0,Northern Congolian forest-savanna mosaic,1015.2371192168486
30713.0,Sahelian Acacia savanna,415.9042506230864
30714.0,Serengeti volcanic grasslands,1538.5431527444684
30715.0,Somali Acacia-Commiphora bushlands and thickets,511.7596151880904
30716.0,Southern Acacia-Commiphora bushlands and thickets,1213.348131257544
30717.0,Southern Africa bushveld,985.2662415294624
30718.0,Southern Congolian forest-savanna mosaic,1000.5516292595914
30719.0,Southern Miombo woodlands,1104.148791689353
30721.0,Victoria Basin forest-savanna mosaic,1262.3842324601162
30722.0,West Sudanian savanna,790.1011126261536
30723.0,Western Congolian forest-savanna mosaic,1143.9345845502367
30724.0,Western Zambezian grasslands,795.2631192097289
30725.0,Zambezian and Mopane woodlands,966.8200644724529
30726.0,Zambezian Baikiaea woodlands,650.5761501798828
30801.0,Al Hajar montane woodlands,563.3411689116562
30901.0,East African halophytics,1523.3587607119086
30902.0,Etosha Pan halophytics,511.45775687135927
30903.0,Inner Niger Delta flooded savanna,457.6035727495543
30904.0,Lake Chad flooded savanna,480.47866974148553
30905.0,Saharan flooded grasslands,537.2494169081791
30906.0,Zambezian coastal flooded savanna,1071.358925880156
30907.0,Zambezian flooded grasslands,846.0736995582856
30908.0,Zambezian halophytics,539.5840208556386
31001.0,Angolan montane forest-grassland mosaic,1399.8629766688405
31002.0,Angolan scarp savanna and woodlands,1138.8205680454723
31003.0,Drakensberg alti-montane grasslands and woodlands,1636.5209437774981
31004.0,"Drakensberg montane grasslands, woodlands and forests",1635.8688272796273
31005.0,East African montane moorlands,1947.3342110074786
31006.0,Eastern Zimbabwe montane forest-grassland mosaic,1575.6242021921987
31007.0,Ethiopian montane grasslands and woodlands,1512.18510008416
31008.0,Ethiopian montane moorlands,1605.842267432048
31009.0,Highveld grasslands,1046.368045006878
31010.0,Jos Plateau forest-grassland mosaic,1455.3947248987115
31011.0,Madagascar ericoid thickets,2356.506241673574
31012.0,Maputaland-Pondoland bushland and thickets,1930.1517521016729
31013.0,Rwenzori-Virunga montane moorlands,2058.6121781283423
31014.0,South Malawi montane forest-grassland mosaic,1546.2649164666332
31015.0,Southern Rift montane forest-grassland mosaic,1585.7703545252018
31201.0,Albany thickets,1341.6211274032555
31202.0,Lowland fynbos and renosterveld,1540.6997376153524
31203.0,Montane fynbos and renosterveld,1483.4818674575283
31302.0,Arabian Peninsula coastal fog desert,472.04319468175214
31303.0,East Saharan montane xeric woodlands,405.6477208654499
31304.0,Eritrean coastal desert,386.2504078627152
31305.0,Ethiopian xeric grasslands and shrublands,512.4323900693491
31306.0,Gulf of Oman desert and semi-desert,442.82260624425913
31307.0,Hobyo grasslands and shrublands,356.6091596535463
31309.0,Kalahari xeric savanna,573.8363848251435
31310.0,Kaokoveld desert,625.3477923343098
31311.0,Madagascar spiny thickets,1088.6730227224543
31312.0,Madagascar succulent woodlands,1119.3482071369413
31313.0,Masai xeric grasslands and shrublands,569.7781952278154
31314.0,Nama Karoo,696.8955805602031
31315.0,Namib desert,603.2623899145738
31316.0,Namibian savanna woodlands,710.9152832482614
31318.0,Socotra Island xeric shrublands,872.0
31319.0,Somali montane xeric woodlands,593.9731326820878
31320.0,Southwestern Arabian foothills savanna,606.785221863368
31321.0,Southwestern Arabian montane woodlands,768.6729832556309
31322.0,Succulent Karoo,825.0950718743524
31401.0,Central African mangroves,1144.6659598722497
31402.0,East African mangroves,932.7777171119857
31403.0,Guinean mangroves,980.0028896217888
31404.0,Madagascar mangroves,1093.4111997008242
31405.0,Southern Africa mangroves,1495.3840624574902
40101.0,Andaman Islands rain forests,1935.8019341166203
40102.0,Borneo lowland rain forests,2537.879189302186
40103.0,Borneo montane rain forests,3059.2445912139033
40104.0,Borneo peat swamp forests,1972.7783955985246
40105.0,Brahmaputra Valley semi-evergreen forests,2040.5227453611055
40106.0,Cardamom Mountains rain forests,2086.098143165299
40107.0,Chao Phraya freshwater swamp forests,1198.0157334827682
40108.0,Chao Phraya lowland moist deciduous forests,1678.829398485619
40109.0,Chin Hills-Arakan Yoma montane forests,2455.464523585628
40111.0,Eastern highlands moist deciduous forests,1198.8596007285946
40112.0,Eastern Java-Bali montane rain forests,2493.139748002954
40113.0,Eastern Java-Bali rain forests,1748.7663841356584
40114.0,Greater Negros-Panay rain forests,2582.038899582512
40115.0,Himalayan subtropical broadleaf forests,2143.122367138421
40116.0,Irrawaddy freshwater swamp forests,1178.1325438147128
40117.0,Irrawaddy moist deciduous forests,1828.4487615848766
40118.0,Jian Nan subtropical evergreen forests,2128.6639465798094
40119.0,Kayah-Karen montane rain forests,2237.450258497165
40120.0,Lower Gangetic Plains moist deciduous forests,1280.4220231307547
40121.0,Luang Prabang montane rain forests,2533.1244992302177
40122.0,Luzon montane rain forests,3129.5707024045455
40123.0,Luzon rain forests,2844.5328270615473
40124.0,Malabar Coast moist forests,1510.408556962247
40125.0,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,1691.0
40126.0,Meghalaya subtropical forests,2234.9935889289486
40127.0,Mentawai Islands rain forests,2092.0769295940254
40128.0,Mindanao montane rain forests,3046.527036222003
40129.0,Mindanao-Eastern Visayas rain forests,2842.87833849536
40130.0,Mindoro rain forests,3419.0
40131.0,Mizoram-Manipur-Kachin rain forests,2414.185968092604
40132.0,Myanmar coastal rain forests,1920.765196605154
40133.0,Nicobar Islands rain forests,1538.4619945224151
40134.0,North Western Ghats moist deciduous forests,1137.3987613432018
40135.0,North Western Ghats montane rain forests,1535.8974321528992
40136.0,Northern Annamites rain forests,2645.501542877925
40137.0,Northern Indochina subtropical forests,2529.02151574263
40138.0,Northern Khorat Plateau moist deciduous forests,1694.0152720165881
40139.0,Northern Thailand-Laos moist deciduous forests,2168.097003631183
40140.0,Northern Triangle subtropical forests,2760.8611162977486
40141.0,Northern Vietnam lowland rain forests,2655.7013255448487
40142.0,Orissa semi-evergreen forests,1250.2736707839294
40143.0,Palawan rain forests,2872.9209405812467
40144.0,Peninsular Malaysian montane rain forests,2932.876326877726
40145.0,Peninsular Malaysian peat swamp forests,1929.6342174949732
40146.0,Peninsular Malaysian rain forests,2394.841916665507
40147.0,Red River freshwater swamp forests,1986.28190863201
40149.0,South China-Vietnam subtropical evergreen forests,2122.6278982691742
40150.0,South Western Ghats moist deciduous forests,1942.5061464254659
40151.0,South Western Ghats montane rain forests,2139.4240792108644
40152.0,Southern Annamites montane rain forests,3158.019893402246
40153.0,Southwest Borneo freshwater swamp forests,1465.7445670462357
40154.0,Sri Lanka lowland rain forests,2248.684307934542
40155.0,Sri Lanka montane rain forests,2259.6197215410148
40156.0,Sulu Archipelago rain forests,2040.1613556747054
40157.0,Sumatran freshwater swamp forests,1695.2889598770266
40158.0,Sumatran lowland rain forests,2528.300121252858
40159.0,Sumatran montane rain forests,3330.308788388604
40160.0,Sumatran peat swamp forests,1537.3392510733388
40161.0,Sundaland heath forests,1832.3276425775307
40162.0,Sundarbans freshwater swamp forests,1088.8589161035302
40163.0,Tenasserim-South Thailand semi-evergreen rain forests,2266.1901214177383
40164.0,Tonle Sap freshwater swamp forests,1172.255743474261
40165.0,Tonle Sap-Mekong peat swamp forests,1103.9900974437548
40166.0,Upper Gangetic Plains moist deciduous forests,918.8542908562334
40167.0,Western Java montane rain forests,2845.691834129095
40168.0,Western Java rain forests,2286.7821662965075
40169.0,Hainan Island monsoon rain forests,3022.3949007217266
40170.0,Nansei Islands subtropical evergreen forests,1669.11681424703
40171.0,South Taiwan monsoon rain forests,3208.832983481348
40172.0,Taiwan subtropical evergreen forests,2989.518687411683
40201.0,Central Deccan Plateau dry deciduous forests,784.5420662907437
40202.0,Central Indochina dry forests,1479.7470237648301
40203.0,Chhota-Nagpur dry deciduous forests,1240.9799647421212
40204.0,East Deccan dry-evergreen forests,936.9179539375555
40205.0,Irrawaddy dry forests,1490.6858311333674
40206.0,Khathiar-Gir dry deciduous forests,695.748400960341
40207.0,Narmada Valley dry deciduous forests,870.8051406164216
40208.0,Northern dry deciduous forests,1202.8186782327696
40209.0,South Deccan Plateau dry deciduous forests,1304.3728646088375
